Dataset,Method,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
PHM2010,B9_DC_PHSR,73,0.8442982456140351,0.8505274797608985,0.876643623850598,0.7785424770580175,0.8963963383740801,0.9304653679653679,0.6860957151654826,0.14957716701902632,0.16432711781548856,0.3333333333333333,0.0,0.01684882861646943,0.13039392847151166,0.15146473145947906,0.5783993977266574,0.9167829732244375
PHM2010,B9_DC_PHSR,74,0.8322368421052632,0.8366260631515144,0.8294302541936962,0.7585207329900902,0.9219272022707566,0.923611111111111,0.6622367610739704,0.2242776603241702,0.11348557860185671,0.3333333333333333,0.0,0.0168769851744589,0.11188253958330034,0.13645725821070628,0.6562783264372869,0.9610980184998212
PHM2010,B9_DC_PHSR,75,0.8432017543859649,0.8494948975279288,0.8722664634178461,0.7826956030566565,0.8935226261092838,0.9069182389937107,0.6957808760134342,0.15204369274136598,0.1521754312451974,0.3333333333333333,0.0,0.019561785828220768,0.12886967903412053,0.14456406716417203,0.6004816630320938,0.9047819597017431
PHM2010,B9_DC_PHSR,76,0.837719298245614,0.8403655573079081,0.8338103680561949,0.7612028114365677,0.9260834924309617,0.9269467092047736,0.6824165603235371,0.21429410382898592,0.10328933584747453,0.3333333333333333,0.0,0.017279753842214533,0.11680377646783013,0.1413234389644423,0.6245926725773963,0.8279681961618568
PHM2010,B9_DC_PHSR,77,0.8278508771929824,0.8283126412858643,0.8731582433125986,0.739022138709695,0.8727575418352996,0.9181818181818181,0.6574640179291342,0.14035705896170902,0.202178923109154,1.3333333333333333,1.0,0.02156579011560697,0.16446732019639335,0.18332144937080974,0.3156394445494531,0.830878788494325
PHM2010,B9_DC_PHSR,78,0.8497807017543858,0.8550177197102032,0.8293666902682716,0.7875912307671001,0.9480952380952381,0.9377554812337422,0.6967839932956212,0.22157622739017915,0.0816397793141972,0.3333333333333333,0.0,0.0205644084897579,0.10795788911729957,0.13235244316779252,0.6744462519564368,0.9305380721259756
PHM2010,B9_DC_PHSR,79,0.8629385964912281,0.86765831384011,0.8446390839667886,0.8160402446146837,0.9422956129388581,0.9013791950704957,0.7654721317512015,0.18892412497063513,0.0456037432781615,0.3333333333333333,0.0,0.016522244904727167,0.11555649533397683,0.1508125980710407,0.559629842284496,0.9259630995770498
PHM2010,B9_DC_PHSR,80,0.8662280701754387,0.8691304850617833,0.8801163532624151,0.8178575417954351,0.9094175601274994,0.9105001223790486,0.7497269997269997,0.11492835330044543,0.13534464697255277,1.0,0.0,0.024006593560091268,0.10876813500467007,0.12775329046100928,0.6996922298624364,0.9129129427038363
PHM2010,B9_DC_PHSR,81,0.8969298245614036,0.9020436280806905,0.8748106060606061,0.8618257241307384,0.9694945540507266,0.9141263131874924,0.8330000190465308,0.15198496593845315,0.015015015015014866,0.0,0.0,0.0174921635607196,0.11109322030889601,0.1328196542931072,0.6663217778114644,0.8879104527279411
PHM2010,B9_DC_PHSR,82,0.8914473684210527,0.896108786720862,0.8814636779757228,0.8511290474016763,0.9557336347851866,0.9199536064425771,0.8068221498454057,0.1391237961005392,0.054054054054053564,0.0,0.0,0.012688887876432034,0.11780216626527029,0.1459795626961093,0.578437118563794,0.9136740648171043
PHM2010,B9_DC_PHSR,83,0.8037280701754387,0.7747767619965952,0.6456063098069795,0.7642156081939245,0.9145083679888817,0.8162269456620627,0.7913262099308612,0.09302325581395277,0.11565053425518444,0.3333333333333333,0.0,0.016155169424556536,0.14313288492749135,0.1698282429729252,0.4303467473420837,0.8652017937713286
